hours_studied,attendance,sleep_hours,exam_score,motivation,tutoring_sessions,family_income
22,87,5,70,1,2,1
16,92,5,68,1,1,1
21,86,5,67,2,2,1
22,76,8,68,2,1,1
16,81,8,68,2,3,2
31,92,4,72,2,2,2
23,75,6,65,1,0,2
13,76,5,66,1,2,2
24,64,8,65,3,0,1
14,97,6,67,2,2,2
25,64,5,66,1,2,2
27,86,7,69,1,1,2
15,77,8,66,1,0,3
26,76,6,69,2,4,3
22,87,7,67,2,0,1
25,63,6,66,2,1,2
31,84,9,71,2,2,1
19,91,6,70,2,5,2
15,93,6,71,2,2,2
15,67,7,66,3,1,3
15,96,7,67,3,3,2
20,86,8,66,2,1,2
22,95,9,72,1,0,1
22,79,9,68,2,1,2
25,82,6,69,2,3,1
20,97,7,71,1,2,1
29,96,9,70,1,0,2
18,78,9,67,3,2,3
36,71,6,69,2,2,3
24,76,8,65,1,2,2
15,76,8,65,2,1,1
14,71,8,64,1,2,2
23,71,9,63,1,1,1
19,94,5,69,2,3,1
24,63,6,64,2,1,1
23,87,8,72,3,0,3
20,67,7,63,2,0,2
15,74,4,64,1,3,1
11,62,5,64,2,3,3
17,71,8,67,2,5,2
25,91,8,71,1,2,2
21,95,5,70,3,1,2
13,69,9,61,1,0,3
21,79,7,67,1,2,1
22,79,5,72,2,4,3
15,95,6,66,1,1,1
21,91,5,70,2,1,3
20,81,6,67,3,3,2
13,87,4,67,2,2,2
22,94,7,71,3,2,3
23,60,8,66,2,1,1
26,76,5,68,2,1,2
26,96,7,74,2,3,3
12,90,6,64,2,1,3
14,82,8,65,2,1,1
23,81,4,66,2,1,1
23,74,8,66,1,0,2
23,81,4,68,2,2,2
43,86,7,78,2,2,2
23,77,6,67,1,1,2
27,89,6,74,2,3,2
26,94,5,74,3,1,1
24,66,9,62,1,1,2
18,78,5,66,2,2,2
25,76,5,69,3,3,2
15,87,10,68,2,2,1
19,70,7,89,3,0,2
17,86,5,66,1,2,3
20,95,7,68,1,2,2
34,77,7,69,1,0,2
9,96,4,67,3,0,1
24,100,6,75,1,2,2
10,64,7,60,3,0,2
17,69,9,66,2,2,2
27,98,7,73,1,1,3
20,98,7,68,1,1,2
14,64,6,62,2,0,2
16,61,9,62,1,2,1
24,66,8,65,3,1,2
16,100,8,69,3,2,1
21,67,7,64,1,3,1
20,80,5,67,2,0,1
16,94,9,70,2,0,1
33,61,7,70,3,2,2
24,84,7,69,1,3,2
8,71,8,61,2,0,2
21,94,7,69,1,0,2
16,71,5,63,2,1,2
25,87,7,67,1,0,2
15,87,4,65,2,1,2
19,69,7,66,3,3,3
23,61,9,63,2,4,2
25,76,4,68,2,2,2
13,72,7,65,2,0,1
18,92,8,67,2,1,2
17,92,8,68,2,2,2
16,78,6,64,2,0,1
31,84,5,71,3,0,2
22,84,6,69,1,0,2
12,93,9,67,1,1,2
26,77,4,65,1,2,3
33,71,5,68,2,1,2
26,71,6,67,1,1,3
11,81,6,67,3,3,2
17,78,7,66,2,2,1
28,78,9,70,3,2,2
16,64,5,65,2,3,2
23,89,7,69,1,4,2
25,69,7,65,1,1,3
14,68,6,63,2,1,3
20,77,5,67,1,2,1
1,69,6,61,2,1,1
14,83,6,65,2,0,2
18,75,8,66,2,1,1
13,78,8,66,3,0,3
30,81,5,69,2,1,3
11,68,6,63,2,2,2
17,66,6,65,2,1,3
21,95,10,67,1,0,3
29,77,7,69,2,2,3
11,76,5,65,2,4,2
27,61,6,65,2,1,1
20,80,6,65,2,0,1
14,82,8,67,1,2,1
23,82,8,66,2,1,2
21,88,7,72,2,4,1
16,67,7,66,3,3,1
20,70,7,65,1,2,2
18,92,7,69,2,1,1
21,98,4,68,2,2,3
24,65,7,64,1,1,3
30,80,6,69,2,3,2
13,69,5,59,1,0,3
33,62,10,68,2,0,2
8,73,7,60,2,0,3
19,66,7,62,2,1,3
24,88,6,67,1,0,1
22,81,8,68,3,4,2
16,66,5,64,3,3,2
19,60,7,65,3,3,1
17,92,6,65,2,2,2
16,67,8,63,2,0,1
25,84,6,70,1,2,2
22,73,9,66,1,3,2
16,83,7,68,1,4,3
25,73,8,66,2,3,2
22,63,8,63,2,3,2
25,69,9,66,2,1,1
24,68,6,65,2,1,2
15,77,8,66,3,1,1
17,86,4,67,3,2,3
24,71,7,66,2,0,1
24,60,6,63,3,4,1
20,81,5,66,1,3,2
21,84,6,67,1,1,3
28,99,6,71,2,1,1
16,84,7,67,2,1,1
23,79,6,69,2,1,3
19,83,7,67,2,2,1
19,97,6,72,3,2,2
27,93,6,70,3,2,1
25,73,7,67,1,0,1
25,69,7,64,2,0,1
28,71,8,67,3,1,2
20,80,8,69,2,3,2
24,90,7,68,2,0,1
18,80,8,63,1,2,1
22,63,7,68,2,4,3
19,89,7,70,2,0,2
21,92,8,66,1,0,2
24,72,6,68,3,0,1
15,87,4,67,3,0,1
33,77,5,69,2,0,1
14,96,9,66,3,0,2
13,94,7,68,1,3,1
27,81,7,69,2,2,2
25,88,7,70,1,1,2
24,95,8,74,3,1,2
24,80,7,70,3,0,1
20,73,7,66,1,1,2
15,90,8,69,2,1,1
20,69,6,64,1,0,1
16,76,8,62,2,1,1
26,95,7,70,2,0,2
19,89,7,68,2,2,2
15,76,6,65,1,0,2
18,69,7,65,1,3,2
22,74,6,71,1,3,3
17,71,9,66,1,2,2
15,67,4,61,2,0,1
21,90,8,67,1,2,2
21,70,4,65,2,0,1
17,78,8,65,2,0,1
17,75,6,65,2,1,1
21,99,8,73,3,4,2
11,76,7,62,2,1,2
12,63,5,60,1,0,2
16,64,9,61,1,1,2
19,84,8,67,3,2,1
22,84,8,70,2,3,2
29,77,6,69,2,1,2
25,77,8,66,3,0,2
19,62,5,64,1,2,1
20,81,4,68,2,1,3
14,80,5,67,2,1,1
20,66,6,64,3,0,2
18,64,6,65,3,2,1
22,65,6,66,2,2,3
15,64,6,63,3,2,2
23,84,6,68,1,2,1
29,68,4,66,2,1,2
19,70,7,63,1,3,1
22,67,7,63,1,1,1
24,98,6,74,2,1,2
18,94,9,70,1,1,2
21,69,7,68,2,2,1
20,73,7,66,2,0,2
21,68,8,63,1,0,2
15,80,5,67,2,4,1
20,61,7,62,2,1,2
23,87,8,71,2,1,2
29,81,7,72,2,2,2
26,96,5,72,2,1,3
33,67,6,68,3,0,1
15,92,7,66,1,1,2
25,92,4,70,2,0,1
21,65,5,66,3,2,1
33,76,10,72,1,1,3
15,67,8,64,1,0,3
15,70,9,63,2,1,2
16,71,8,61,2,0,1
7,82,8,62,2,0,1
17,76,7,68,3,1,2
15,98,8,68,1,1,2
21,65,9,63,3,1,2
22,99,8,70,1,1,2
31,69,7,68,2,1,1
26,91,7,72,2,1,1
17,74,8,67,2,4,1
15,66,6,61,2,1,1
23,94,8,69,2,0,1
12,72,6,61,3,2,1
31,86,6,75,2,3,2
27,83,5,68,2,0,3
17,79,6,65,1,1,2
10,80,6,67,3,4,2
28,89,10,75,3,3,2
19,64,6,64,2,1,2
27,87,8,70,2,1,1
10,96,6,67,2,0,2
16,62,7,63,1,2,2
20,66,7,65,2,1,2
20,89,4,67,2,1,2
17,77,5,86,2,2,3
24,76,6,67,3,3,2
14,65,5,63,1,1,3
19,80,7,66,2,0,2
21,65,7,65,1,2,1
23,79,5,67,2,1,2
24,91,7,69,1,0,3
13,70,6,66,2,2,2
11,79,7,64,2,1,3
28,100,6,73,2,1,1
22,87,8,66,1,1,1
16,94,9,68,1,1,1
29,77,8,70,1,0,2
21,91,9,69,2,2,1
27,62,5,67,1,4,3
20,65,6,62,1,0,2
32,68,8,68,3,1,1
31,76,9,72,2,1,1
19,94,8,69,2,3,2
26,74,5,66,1,3,3
24,86,6,70,2,1,1
28,88,8,71,2,0,2
14,83,7,65,2,0,1
24,74,6,70,2,3,1
26,83,7,65,3,2,2
9,74,7,62,1,1,3
13,63,5,62,2,2,3
8,100,8,70,2,1,2
18,65,6,66,2,5,1
24,63,7,67,1,4,1
29,95,9,72,2,1,2
20,72,7,66,1,0,1
30,86,8,68,2,2,2
12,73,5,62,2,1,1
10,76,8,64,2,2,3
20,70,8,65,2,0,1
22,74,6,66,1,4,2
20,76,7,64,2,2,1
8,89,7,67,1,4,1
19,80,7,69,1,4,2
12,98,8,68,2,0,2
24,62,6,64,3,2,1
22,80,7,68,2,2,3
14,83,9,64,2,1,2
17,97,9,71,3,0,3
14,62,8,61,1,3,1
20,83,7,68,2,4,1
26,94,10,73,1,2,3
14,70,9,64,2,3,2
23,95,7,72,2,3,1
17,61,7,65,3,5,2
15,89,6,68,2,1,2
19,97,8,71,2,2,1
14,86,8,65,2,3,2
17,78,8,66,1,2,2
13,62,7,63,2,4,2
32,97,5,74,2,1,2
20,79,7,66,1,2,2
16,61,8,63,3,2,2
21,88,6,72,3,2,3
19,79,7,69,1,1,3
19,65,9,67,2,1,2
24,69,5,66,1,3,1
25,63,7,64,2,0,1
17,83,9,67,2,4,2
17,85,7,69,3,4,1
18,80,6,65,2,2,1
6,93,7,64,3,0,2
11,94,8,65,3,1,3
28,85,7,72,2,2,1
30,61,8,66,2,2,1
19,88,7,66,2,2,1
23,77,7,67,2,1,1
22,83,8,69,3,1,3
38,86,7,73,1,3,1
27,74,6,69,2,3,2
19,97,8,68,2,1,1
14,65,7,61,2,1,1
10,87,6,63,2,0,1
21,60,8,63,1,0,1
15,97,9,68,2,1,1
11,65,7,63,2,2,1
16,64,7,66,2,3,2
14,73,5,65,2,2,1
30,75,7,68,3,0,1
25,69,7,66,3,0,1
20,83,7,66,1,2,2
29,78,6,70,2,2,1
20,61,8,61,2,0,2
15,73,7,61,2,2,1
29,92,10,71,3,1,1
23,88,7,67,2,1,2
14,89,4,70,2,2,2
19,88,5,69,2,2,1
15,72,8,65,2,2,2
12,64,6,61,3,0,2
26,71,6,68,1,3,1
31,93,5,74,2,2,1
12,99,6,67,1,1,2
23,80,7,70,1,5,3
16,60,8,59,1,1,3
17,66,5,64,1,0,2
16,73,8,66,2,2,2
15,83,5,63,2,1,2
20,63,8,61,1,0,3
15,98,8,68,1,2,1
22,75,6,65,1,3,2
20,97,5,69,2,1,2
19,91,8,68,2,2,1
15,90,6,69,1,2,3
17,84,7,67,3,1,1
25,85,8,70,3,1,3
23,86,8,68,1,1,1
14,85,6,67,1,0,3
21,82,7,67,2,4,1
25,99,6,75,3,0,2
10,89,8,63,1,3,1
23,91,9,70,3,1,1
16,95,6,70,1,2,3
23,69,7,64,2,1,2
15,63,8,59,1,0,2
9,79,7,63,3,1,3
10,81,8,67,2,2,2
20,93,7,68,2,0,2
22,78,5,68,1,0,2
15,83,7,97,2,2,1
24,81,9,66,2,1,1
10,62,7,61,3,3,2
20,85,9,70,3,2,3
13,93,4,65,3,1,2
16,66,8,64,3,3,2
20,84,6,69,3,2,2
15,84,6,64,1,1,2
18,67,9,61,1,2,1
26,65,7,64,1,3,3
17,99,6,68,2,0,2
25,76,8,67,3,1,3
13,69,4,62,2,3,1
23,67,9,66,2,2,1
29,87,10,72,3,1,1
5,84,8,68,3,4,3
15,86,8,71,2,4,3
23,64,7,65,3,3,2
19,96,5,68,1,2,2
22,76,9,65,2,2,1
16,73,8,64,2,1,2
21,78,8,65,2,2,2
19,76,8,65,1,0,1
27,95,7,73,3,3,2
22,97,6,72,2,1,1
22,72,10,64,2,1,2
18,95,7,69,1,0,1
17,91,6,69,3,1,3
17,97,9,70,2,0,2
22,70,7,83,1,1,1
17,83,7,68,1,3,1
22,71,9,84,3,1,1
32,93,8,75,3,1,2
25,60,8,67,2,1,2
18,83,5,69,2,0,3
27,74,8,71,3,3,2
18,73,5,66,2,1,2
8,86,6,65,3,1,2
14,94,7,70,2,1,3
9,84,7,66,3,1,1
18,94,8,74,2,3,2
20,71,8,66,2,0,3
30,81,8,68,1,0,1
22,78,5,68,2,2,1
19,60,10,62,2,0,2
25,82,7,71,2,2,2
7,86,9,63,2,2,1
21,84,4,69,2,2,2
25,89,7,71,3,3,2
11,83,5,66,2,1,2
27,63,6,64,1,0,1
22,65,7,65,1,3,1
18,84,6,69,2,4,2
24,71,9,66,2,2,2
34,63,10,67,1,1,2
21,77,6,65,2,4,1
21,82,6,65,3,3,1
17,73,5,67,3,1,1
15,89,9,66,1,1,2
25,86,7,69,1,1,3
15,73,7,64,1,1,1
20,90,7,70,3,1,3
17,86,7,68,1,3,1
23,85,6,68,1,1,2
22,82,7,69,1,1,3
26,60,7,68,3,3,3
17,88,8,70,2,5,2
18,75,5,67,2,2,1
14,98,7,72,2,3,1
17,93,6,69,2,1,1
22,84,7,69,2,1,2
25,70,8,64,1,3,1
14,68,6,63,2,2,2
25,74,9,70,2,3,2
28,79,4,70,2,0,2
22,72,9,66,1,1,2
31,81,9,70,1,1,1
15,67,6,66,3,0,3
13,99,6,68,2,1,1
9,64,5,61,2,1,2
29,97,8,72,2,1,3
24,97,7,69,1,1,2
20,81,6,63,1,0,2
22,89,5,72,2,2,2
13,77,10,65,2,1,3
35,85,6,74,3,1,3
21,74,7,62,1,1,3
21,72,7,65,1,0,1
24,83,6,68,1,1,1
23,80,6,66,2,3,2
21,83,6,71,1,3,3
15,71,8,62,1,1,2
23,75,6,65,1,1,1
31,63,9,68,1,0,3
28,62,6,70,2,4,2
30,70,8,67,2,1,2
17,63,4,63,2,2,1
14,64,6,63,1,0,1
19,93,6,69,2,0,2
20,62,5,66,3,3,2
27,86,7,70,1,2,1
10,71,7,63,3,2,1
29,95,4,72,2,0,2
19,79,10,65,1,1,2
17,72,7,67,1,2,3
14,81,7,63,1,1,3
10,75,9,65,2,3,1
25,83,8,67,2,2,1
20,65,7,80,3,0,2
12,100,4,68,2,2,1
12,77,8,63,2,2,1
18,74,6,64,2,1,2
30,88,9,73,2,3,2
18,75,6,66,1,2,2
11,93,6,66,1,2,1
19,78,5,66,2,0,2
18,89,5,69,1,4,2
4,64,7,59,2,1,2
20,94,7,68,2,0,1
19,89,6,67,2,1,1
24,68,10,64,1,1,2
31,66,8,65,1,0,1
27,73,7,68,1,1,1
18,99,4,70,1,0,2
13,70,8,62,2,2,2
35,78,10,72,2,1,1
20,61,7,62,1,1,2
20,76,6,68,1,1,1
20,83,7,69,2,3,1
21,98,5,73,1,3,3
19,81,8,69,1,3,2
17,93,9,67,2,1,2
17,82,6,65,1,2,1
20,62,6,63,3,2,2
17,73,7,66,2,2,1
16,83,6,66,2,1,1
21,98,5,70,1,0,1
18,94,6,69,1,2,3
29,69,6,70,1,1,3
4,69,9,58,1,2,2
27,68,9,67,2,3,3
27,97,9,73,1,1,1
8,94,8,66,3,0,2
18,91,7,70,3,0,2
18,76,6,67,2,1,2
12,80,9,60,3,1,1
15,79,8,65,1,1,1
13,70,5,63,2,0,2
31,80,6,72,1,1,2
26,61,5,62,3,0,1
28,65,4,70,2,6,2
24,95,8,70,2,2,1
13,90,5,64,2,0,1
17,77,6,64,1,3,1
23,81,7,67,2,0,2
13,75,7,64,3,1,2
24,90,6,72,1,1,3
19,91,9,66,2,0,2
18,91,5,66,2,2,2
24,89,5,71,2,0,1
23,68,8,66,2,5,1
18,74,6,64,3,2,1
27,79,6,66,1,0,2
14,73,5,62,1,1,1
24,90,8,70,2,4,1
24,73,7,69,2,3,2
18,66,7,65,2,2,1
22,76,6,70,3,2,2
12,99,6,70,2,0,3
26,69,7,67,2,1,3
19,84,8,69,1,2,1
17,77,9,62,1,0,1
26,63,9,67,2,1,1
16,80,8,65,3,0,1
12,88,8,65,2,0,1
11,81,5,65,2,1,1
24,95,6,69,2,3,1
12,72,8,63,1,4,2
31,63,7,66,1,3,2
8,97,8,67,2,0,2
30,75,8,69,3,1,2
21,83,8,67,3,1,1
19,92,5,70,2,1,2
17,73,7,67,2,2,3
22,89,6,70,2,2,1
20,65,6,65,2,0,1
27,72,4,63,2,0,2
21,66,7,64,2,0,3
21,92,4,69,1,1,3
18,69,8,60,1,1,1
20,89,9,69,2,3,1
22,98,8,72,2,4,3
10,81,7,63,1,1,1
12,82,9,63,3,0,1
24,78,7,66,3,0,2
21,73,6,70,2,6,2
19,79,7,68,2,1,3
20,84,10,69,1,2,2
22,99,5,72,3,0,2
17,98,5,67,1,1,1
15,94,8,68,1,1,3
21,96,7,70,2,1,2
14,79,6,68,2,5,2
22,86,5,69,3,2,2
10,96,4,68,2,1,2
26,76,5,66,1,0,2
23,98,9,72,3,1,1
22,77,7,67,2,2,2
26,84,4,70,2,3,3
30,88,9,73,2,1,2
26,98,9,73,3,1,3
9,70,9,60,1,1,2
12,90,6,67,1,2,2
16,81,7,69,2,3,3
20,71,7,65,3,1,2
23,91,9,70,1,2,1
16,82,6,68,1,3,2
21,86,6,66,2,1,1
15,73,8,65,2,1,1
16,79,9,64,2,1,1
12,85,7,67,3,1,1
14,76,8,65,1,3,2
12,68,7,64,2,1,2
14,98,7,67,2,0,2
26,80,6,70,2,2,3
14,89,5,63,1,3,1
36,76,6,71,2,1,1
23,74,6,68,1,2,3
21,76,7,67,2,0,2
15,76,9,67,2,1,2
24,82,7,68,2,0,2
17,82,6,66,2,1,1
21,80,8,68,2,0,2
35,65,7,70,3,0,2
19,80,8,67,2,5,1
27,67,6,67,2,2,3
16,65,9,62,1,2,1
20,97,9,67,1,0,1
31,84,7,70,1,4,1
16,86,8,72,2,4,1
31,76,9,70,2,2,3
24,96,6,94,2,2,1
17,86,7,66,2,2,3
24,91,7,69,3,2,1
26,75,5,68,1,0,3
24,98,8,71,3,2,1
11,93,9,69,2,4,1
16,94,7,67,1,2,2
19,67,8,64,2,2,1
20,71,9,63,2,1,2
24,71,6,66,2,2,2
21,71,8,66,1,2,3
12,94,6,69,2,3,3
22,61,6,64,1,4,2
24,63,8,62,1,1,1
23,71,7,66,3,3,1
26,68,8,70,2,4,1
25,69,7,67,2,2,1
23,92,8,68,2,0,3
20,83,9,67,3,0,1
10,60,9,62,2,0,2
23,77,8,67,2,1,3
21,76,8,68,2,0,1
22,65,7,64,1,2,2
12,87,7,64,2,2,2
14,88,8,66,2,2,3
26,89,7,72,2,2,1
20,89,8,72,2,2,2
24,60,9,66,3,2,2
20,98,7,72,3,4,2
20,93,4,69,1,1,2
26,96,10,72,1,2,2
17,61,6,60,2,1,2
21,97,7,69,2,0,3
17,92,8,68,2,0,1
17,93,9,69,3,3,1
18,64,10,62,1,1,1
21,90,6,71,1,2,1
17,98,9,70,1,1,3
28,87,7,68,2,2,2
15,83,10,68,2,1,3
19,98,9,70,1,1,3
17,78,7,65,2,0,1
29,84,6,73,2,0,2
21,79,4,66,1,0,1
26,97,8,71,1,2,3
11,63,9,62,3,2,2
22,80,8,68,3,2,1
25,87,4,70,1,1,1
20,92,5,68,1,0,2
26,83,8,71,2,2,1
17,96,10,70,2,2,2
28,98,7,72,2,1,1
34,63,9,69,2,2,2
18,76,5,63,2,1,1
17,61,7,62,3,0,2
29,73,7,68,2,2,1
29,81,9,70,1,2,2
17,96,6,69,2,1,2
17,94,10,68,1,2,1
18,65,7,65,2,2,3
12,64,5,59,2,3,1
14,84,5,66,2,3,1
14,81,6,64,1,0,1
15,71,8,63,3,5,1
20,96,6,72,2,5,1
21,97,6,67,1,0,1
29,76,8,94,1,2,1
14,96,4,70,1,2,2
26,75,6,66,2,0,1
19,89,5,69,1,4,2
20,79,6,64,1,2,1
24,65,7,63,1,1,1
13,97,7,71,2,1,1
22,78,7,65,2,1,2
21,89,9,68,1,1,2
23,75,7,64,3,1,1
22,61,10,64,3,1,3
35,64,8,66,2,2,2
16,80,6,68,2,1,2
17,88,10,67,2,3,1
16,73,7,66,2,1,2
17,88,10,68,2,2,2
16,88,7,66,2,3,1
27,88,7,71,2,3,3
29,80,8,71,2,4,1
17,97,7,68,2,0,1
15,80,9,64,3,3,2
23,78,10,67,1,3,2
17,68,4,64,3,0,2
24,72,8,68,3,3,1
21,62,6,62,3,0,1
11,85,4,64,1,0,2
29,70,8,70,1,3,1
31,72,8,68,3,0,1
16,91,8,69,3,2,2
18,73,8,65,1,3,1
22,70,8,67,2,2,3
22,67,6,65,1,2,2
24,91,7,71,1,0,2
32,65,8,65,1,2,1
19,78,9,66,1,2,1
15,80,7,65,2,0,1
12,87,7,65,1,2,2
16,85,7,68,3,1,2
20,92,5,68,2,2,2
31,62,8,67,2,0,2
17,72,5,65,3,3,3
21,71,8,66,2,2,2
20,66,7,63,1,0,2
27,72,5,70,2,1,3
35,72,5,72,2,1,1
17,81,6,67,2,2,1
17,87,6,67,2,0,2
26,75,9,66,2,1,1
24,89,7,66,2,1,1
31,73,8,69,2,2,1
24,72,9,62,2,0,1
18,82,9,66,1,2,1
24,61,7,64,3,0,1
27,63,6,67,2,1,1
25,77,8,71,2,2,2
23,98,6,73,2,1,2
26,89,10,68,1,0,2
27,64,8,66,2,2,3
28,94,7,75,2,3,1
24,89,8,72,2,1,1
19,84,7,68,2,1,3
21,93,6,68,2,1,1
27,76,8,69,2,1,2
15,69,7,63,2,1,1
22,80,10,70,2,0,2
18,82,6,66,1,1,3
20,82,8,66,2,3,2
28,83,6,72,2,1,1
21,98,6,71,2,1,2
20,96,4,72,2,3,1
12,95,8,69,3,4,3
24,92,6,71,1,2,1
24,98,9,69,2,3,3
33,64,8,68,2,1,2
18,71,7,61,1,2,1
21,80,5,68,3,2,2
21,94,8,72,1,0,1
29,80,6,70,2,0,2
19,90,5,73,3,0,2
22,66,8,67,1,3,2
24,70,5,65,2,2,1
21,89,4,68,2,1,3
17,67,9,65,3,3,2
21,74,6,97,2,1,1
26,71,4,66,1,1,2
14,74,6,67,3,2,2
21,88,6,70,2,2,3
16,75,9,66,2,3,1
27,82,5,69,1,1,1
11,64,5,62,1,2,1
17,92,8,68,3,1,3
22,75,6,67,1,1,1
29,86,7,68,2,0,2
20,89,6,69,2,1,1
17,68,10,62,2,1,3
31,95,5,75,2,2,1
11,85,7,65,1,2,3
7,77,9,63,2,2,2
23,67,6,66,1,1,2
17,98,6,71,3,3,2
14,90,8,66,2,0,2
24,68,9,66,2,2,2
21,74,6,66,1,1,2
17,92,9,71,2,1,3
12,88,7,68,3,3,2
25,91,8,71,3,1,2
24,78,9,68,1,0,3
19,89,8,68,2,2,1
31,75,7,68,1,2,2
14,68,6,62,2,2,1
11,85,10,65,3,0,2
16,99,6,71,3,2,1
20,72,7,63,1,0,1
21,78,8,68,1,1,3
19,87,8,69,1,1,2
22,82,10,69,2,1,1
12,94,7,71,1,3,2
29,90,7,71,2,0,1
20,62,9,62,1,0,2
27,100,7,70,1,2,2
22,90,8,70,3,1,1
23,95,7,73,2,2,3
23,86,8,71,1,3,2
23,94,8,69,2,2,1
24,64,6,66,3,0,3
28,74,4,65,2,1,1
21,95,4,71,2,2,2
24,68,4,68,3,2,2
19,63,7,64,2,2,1
29,92,4,71,2,2,1
16,93,7,67,2,0,2
31,67,7,66,3,2,2
20,94,8,71,2,1,1
11,87,8,62,3,0,1
21,81,8,67,2,3,1
16,93,8,67,2,3,1
25,77,7,66,2,0,2
16,68,7,64,3,1,1
17,71,6,62,2,2,1
9,80,7,65,1,1,2
17,81,5,63,1,0,2
5,92,9,64,2,2,3
10,92,6,65,1,1,2
25,83,7,68,2,0,1
25,91,7,72,2,2,1
23,68,9,64,2,0,1
14,62,4,62,1,1,1
20,95,7,69,1,3,1
20,63,8,64,2,3,2
13,70,10,61,2,1,1
29,88,7,72,1,2,1
25,76,6,66,1,1,2
19,95,10,69,1,2,3
20,72,8,65,3,2,1
21,60,9,64,2,2,1
8,72,5,62,2,3,3
19,83,8,66,3,1,1
16,75,5,62,2,0,1
