student_id,hours_studied,attendance,sleep_hours,exam_score,motivation,tutoring_sessions,family_income
136,29,61,7,67,1,3,1
137,15,78,9,65,1,1,1
138,18,91,5,68,2,1,2
139,25,87,9,68,3,1,1
140,13,85,6,65,2,0,3
141,21,96,8,71,3,2,2
142,28,61,6,65,3,1,1
143,10,82,8,64,2,3,1
144,21,91,6,72,2,0,3
145,22,82,9,65,2,2,1
146,25,73,8,66,3,0,1
147,13,65,6,61,2,0,1
148,12,96,8,68,2,2,2
149,23,79,8,69,1,3,2
150,22,95,6,72,2,1,1
151,22,83,5,71,2,2,1
152,22,87,5,70,1,2,1
153,16,92,5,68,1,1,1
154,21,86,5,67,2,2,1
155,22,76,8,68,2,1,1
156,16,81,8,68,2,3,2
157,31,92,4,72,2,2,2
158,23,75,6,65,1,0,2
159,13,76,5,66,1,2,2
160,24,64,8,65,3,0,1
161,14,97,6,67,2,2,2
162,25,64,5,66,1,2,2
163,27,86,7,69,1,1,2
164,15,77,8,66,1,0,3
165,26,76,6,69,2,4,3
166,22,87,7,67,2,0,1
167,25,63,6,66,2,1,2
168,31,84,9,71,2,2,1
169,19,91,6,70,2,5,2
170,15,93,6,71,2,2,2
171,15,67,7,66,3,1,3
172,15,96,7,67,3,3,2
173,20,86,8,66,2,1,2
174,22,95,9,72,1,0,1
175,22,79,9,68,2,1,2
176,25,82,6,69,2,3,1
177,20,97,7,71,1,2,1
178,29,96,9,70,1,0,2
179,18,78,9,67,3,2,3
180,36,71,6,69,2,2,3
181,24,76,8,65,1,2,2
182,15,76,8,65,2,1,1
183,14,71,8,64,1,2,2
184,23,71,9,63,1,1,1
185,19,94,5,69,2,3,1
186,24,63,6,64,2,1,1
187,23,87,8,72,3,0,3
188,20,67,7,63,2,0,2
189,15,74,4,64,1,3,1
190,11,62,5,64,2,3,3
191,17,71,8,67,2,5,2
192,25,91,8,71,1,2,2
193,21,95,5,70,3,1,2
194,13,69,9,61,1,0,3
195,21,79,7,67,1,2,1
196,22,79,5,72,2,4,3
197,15,95,6,66,1,1,1
198,21,91,5,70,2,1,3
199,20,81,6,67,3,3,2
200,13,87,4,67,2,2,2
201,22,94,7,71,3,2,3
202,23,60,8,66,2,1,1
203,26,76,5,68,2,1,2
204,26,96,7,74,2,3,3
205,12,90,6,64,2,1,3
206,14,82,8,65,2,1,1
207,23,81,4,66,2,1,1
208,23,74,8,66,1,0,2
209,23,81,4,68,2,2,2
210,43,86,7,78,2,2,2
211,23,77,6,67,1,1,2
212,27,89,6,74,2,3,2
213,26,94,5,74,3,1,1
214,24,66,9,62,1,1,2
215,18,78,5,66,2,2,2
216,25,76,5,69,3,3,2
217,15,87,10,68,2,2,1
218,19,70,7,89,3,0,2
219,17,86,5,66,1,2,3
220,20,95,7,68,1,2,2
221,34,77,7,69,1,0,2
222,9,96,4,67,3,0,1
223,24,100,6,75,1,2,2
224,10,64,7,60,3,0,2
225,17,69,9,66,2,2,2
226,27,98,7,73,1,1,3
227,20,98,7,68,1,1,2
228,14,64,6,62,2,0,2
229,16,61,9,62,1,2,1
230,24,66,8,65,3,1,2
231,16,100,8,69,3,2,1
232,21,67,7,64,1,3,1
233,20,80,5,67,2,0,1
234,16,94,9,70,2,0,1
235,33,61,7,70,3,2,2
236,24,84,7,69,1,3,2
237,8,71,8,61,2,0,2
238,21,94,7,69,1,0,2
239,16,71,5,63,2,1,2
240,25,87,7,67,1,0,2
241,15,87,4,65,2,1,2
242,19,69,7,66,3,3,3
243,23,61,9,63,2,4,2
244,25,76,4,68,2,2,2
245,13,72,7,65,2,0,1
246,18,92,8,67,2,1,2
247,17,92,8,68,2,2,2
248,16,78,6,64,2,0,1
249,31,84,5,71,3,0,2
250,22,84,6,69,1,0,2
251,12,93,9,67,1,1,2
252,26,77,4,65,1,2,3
253,33,71,5,68,2,1,2
254,26,71,6,67,1,1,3
255,11,81,6,67,3,3,2
256,17,78,7,66,2,2,1
257,28,78,9,70,3,2,2
258,16,64,5,65,2,3,2
259,23,89,7,69,1,4,2
260,25,69,7,65,1,1,3
261,14,68,6,63,2,1,3
262,20,77,5,67,1,2,1
263,1,69,6,61,2,1,1
264,14,83,6,65,2,0,2
265,18,75,8,66,2,1,1
266,13,78,8,66,3,0,3
267,30,81,5,69,2,1,3
268,11,68,6,63,2,2,2
269,17,66,6,65,2,1,3
270,21,95,10,67,1,0,3
271,29,77,7,69,2,2,3
272,11,76,5,65,2,4,2
273,27,61,6,65,2,1,1
274,20,80,6,65,2,0,1
275,14,82,8,67,1,2,1
276,23,82,8,66,2,1,2
277,21,88,7,72,2,4,1
278,16,67,7,66,3,3,1
279,20,70,7,65,1,2,2
280,18,92,7,69,2,1,1
281,21,98,4,68,2,2,3
282,24,65,7,64,1,1,3
283,30,80,6,69,2,3,2
284,13,69,5,59,1,0,3
285,33,62,10,68,2,0,2
286,8,73,7,60,2,0,3
287,19,66,7,62,2,1,3
288,24,88,6,67,1,0,1
289,22,81,8,68,3,4,2
290,16,66,5,64,3,3,2
291,19,60,7,65,3,3,1
292,17,92,6,65,2,2,2
293,16,67,8,63,2,0,1
294,25,84,6,70,1,2,2
295,22,73,9,66,1,3,2
296,16,83,7,68,1,4,3
297,25,73,8,66,2,3,2
298,22,63,8,63,2,3,2
299,25,69,9,66,2,1,1
300,24,68,6,65,2,1,2
301,15,77,8,66,3,1,1
302,17,86,4,67,3,2,3
303,24,71,7,66,2,0,1
304,24,60,6,63,3,4,1
305,20,81,5,66,1,3,2
306,21,84,6,67,1,1,3
307,28,99,6,71,2,1,1
308,16,84,7,67,2,1,1
309,23,79,6,69,2,1,3
310,19,83,7,67,2,2,1
311,19,97,6,72,3,2,2
312,27,93,6,70,3,2,1
313,25,73,7,67,1,0,1
314,25,69,7,64,2,0,1
315,28,71,8,67,3,1,2
316,20,80,8,69,2,3,2
317,24,90,7,68,2,0,1
318,18,80,8,63,1,2,1
319,22,63,7,68,2,4,3
320,19,89,7,70,2,0,2
321,21,92,8,66,1,0,2
322,24,72,6,68,3,0,1
323,15,87,4,67,3,0,1
324,33,77,5,69,2,0,1
325,14,96,9,66,3,0,2
326,13,94,7,68,1,3,1
327,27,81,7,69,2,2,2
328,25,88,7,70,1,1,2
329,24,95,8,74,3,1,2
330,24,80,7,70,3,0,1
331,20,73,7,66,1,1,2
332,15,90,8,69,2,1,1
333,20,69,6,64,1,0,1
334,16,76,8,62,2,1,1
335,26,95,7,70,2,0,2
336,19,89,7,68,2,2,2
337,15,76,6,65,1,0,2
338,18,69,7,65,1,3,2
339,22,74,6,71,1,3,3
340,17,71,9,66,1,2,2
341,15,67,4,61,2,0,1
342,21,90,8,67,1,2,2
343,21,70,4,65,2,0,1
344,17,78,8,65,2,0,1
345,17,75,6,65,2,1,1
346,21,99,8,73,3,4,2
347,11,76,7,62,2,1,2
348,12,63,5,60,1,0,2
349,16,64,9,61,1,1,2
350,19,84,8,67,3,2,1
351,22,84,8,70,2,3,2
352,29,77,6,69,2,1,2
353,25,77,8,66,3,0,2
354,19,62,5,64,1,2,1
355,20,81,4,68,2,1,3
356,14,80,5,67,2,1,1
357,20,66,6,64,3,0,2
358,18,64,6,65,3,2,1
359,22,65,6,66,2,2,3
360,15,64,6,63,3,2,2
361,23,84,6,68,1,2,1
362,29,68,4,66,2,1,2
363,19,70,7,63,1,3,1
364,22,67,7,63,1,1,1
365,24,98,6,74,2,1,2
366,18,94,9,70,1,1,2
367,21,69,7,68,2,2,1
368,20,73,7,66,2,0,2
369,21,68,8,63,1,0,2
370,15,80,5,67,2,4,1
371,20,61,7,62,2,1,2
372,23,87,8,71,2,1,2
373,29,81,7,72,2,2,2
374,26,96,5,72,2,1,3
375,33,67,6,68,3,0,1
376,15,92,7,66,1,1,2
377,25,92,4,70,2,0,1
378,21,65,5,66,3,2,1
379,33,76,10,72,1,1,3
380,15,67,8,64,1,0,3
381,15,70,9,63,2,1,2
382,16,71,8,61,2,0,1
383,7,82,8,62,2,0,1
384,17,76,7,68,3,1,2
385,15,98,8,68,1,1,2
386,21,65,9,63,3,1,2
387,22,99,8,70,1,1,2
388,31,69,7,68,2,1,1
389,26,91,7,72,2,1,1
390,17,74,8,67,2,4,1
391,15,66,6,61,2,1,1
392,23,94,8,69,2,0,1
393,12,72,6,61,3,2,1
394,31,86,6,75,2,3,2
395,27,83,5,68,2,0,3
396,17,79,6,65,1,1,2
397,10,80,6,67,3,4,2
398,28,89,10,75,3,3,2
399,19,64,6,64,2,1,2
400,27,87,8,70,2,1,1
401,10,96,6,67,2,0,2
402,16,62,7,63,1,2,2
403,20,66,7,65,2,1,2
404,20,89,4,67,2,1,2
405,17,77,5,86,2,2,3
406,24,76,6,67,3,3,2
407,14,65,5,63,1,1,3
408,19,80,7,66,2,0,2
409,21,65,7,65,1,2,1
410,23,79,5,67,2,1,2
411,24,91,7,69,1,0,3
412,13,70,6,66,2,2,2
413,11,79,7,64,2,1,3
414,28,100,6,73,2,1,1
415,22,87,8,66,1,1,1
416,16,94,9,68,1,1,1
417,29,77,8,70,1,0,2
418,21,91,9,69,2,2,1
419,27,62,5,67,1,4,3
420,20,65,6,62,1,0,2
421,32,68,8,68,3,1,1
422,31,76,9,72,2,1,1
423,19,94,8,69,2,3,2
424,26,74,5,66,1,3,3
425,24,86,6,70,2,1,1
426,28,88,8,71,2,0,2
427,14,83,7,65,2,0,1
428,24,74,6,70,2,3,1
429,26,83,7,65,3,2,2
430,9,74,7,62,1,1,3
431,13,63,5,62,2,2,3
432,8,100,8,70,2,1,2
433,18,65,6,66,2,5,1
434,24,63,7,67,1,4,1
435,29,95,9,72,2,1,2
436,20,72,7,66,1,0,1
437,30,86,8,68,2,2,2
438,12,73,5,62,2,1,1
439,10,76,8,64,2,2,3
440,20,70,8,65,2,0,1
441,22,74,6,66,1,4,2
442,20,76,7,64,2,2,1
443,8,89,7,67,1,4,1
444,19,80,7,69,1,4,2
445,12,98,8,68,2,0,2
446,24,62,6,64,3,2,1
447,22,80,7,68,2,2,3
448,14,83,9,64,2,1,2
449,17,97,9,71,3,0,3
450,14,62,8,61,1,3,1
451,20,83,7,68,2,4,1
452,26,94,10,73,1,2,3
453,14,70,9,64,2,3,2
454,23,95,7,72,2,3,1
455,17,61,7,65,3,5,2
456,15,89,6,68,2,1,2
457,19,97,8,71,2,2,1
458,14,86,8,65,2,3,2
459,17,78,8,66,1,2,2
460,13,62,7,63,2,4,2
461,32,97,5,74,2,1,2
462,20,79,7,66,1,2,2
463,16,61,8,63,3,2,2
464,21,88,6,72,3,2,3
465,19,79,7,69,1,1,3
466,19,65,9,67,2,1,2
467,24,69,5,66,1,3,1
468,25,63,7,64,2,0,1
469,17,83,9,67,2,4,2
470,17,85,7,69,3,4,1
471,18,80,6,65,2,2,1
472,6,93,7,64,3,0,2
473,11,94,8,65,3,1,3
474,28,85,7,72,2,2,1
475,30,61,8,66,2,2,1
476,19,88,7,66,2,2,1
477,23,77,7,67,2,1,1
478,22,83,8,69,3,1,3
479,38,86,7,73,1,3,1
480,27,74,6,69,2,3,2
481,19,97,8,68,2,1,1
482,14,65,7,61,2,1,1
483,10,87,6,63,2,0,1
484,21,60,8,63,1,0,1
485,15,97,9,68,2,1,1
486,11,65,7,63,2,2,1
487,16,64,7,66,2,3,2
488,14,73,5,65,2,2,1
489,30,75,7,68,3,0,1
490,25,69,7,66,3,0,1
491,20,83,7,66,1,2,2
492,29,78,6,70,2,2,1
493,20,61,8,61,2,0,2
494,15,73,7,61,2,2,1
495,29,92,10,71,3,1,1
496,23,88,7,67,2,1,2
497,14,89,4,70,2,2,2
498,19,88,5,69,2,2,1
499,15,72,8,65,2,2,2
500,12,64,6,61,3,0,2
501,26,71,6,68,1,3,1
502,31,93,5,74,2,2,1
503,12,99,6,67,1,1,2
504,23,80,7,70,1,5,3
505,16,60,8,59,1,1,3
506,17,66,5,64,1,0,2
507,16,73,8,66,2,2,2
508,15,83,5,63,2,1,2
509,20,63,8,61,1,0,3
510,15,98,8,68,1,2,1
511,22,75,6,65,1,3,2
512,20,97,5,69,2,1,2
513,19,91,8,68,2,2,1
514,15,90,6,69,1,2,3
515,17,84,7,67,3,1,1
516,25,85,8,70,3,1,3
517,23,86,8,68,1,1,1
518,14,85,6,67,1,0,3
519,21,82,7,67,2,4,1
520,25,99,6,75,3,0,2
521,10,89,8,63,1,3,1
522,23,91,9,70,3,1,1
523,16,95,6,70,1,2,3
524,23,69,7,64,2,1,2
525,15,63,8,59,1,0,2
526,9,79,7,63,3,1,3
527,10,81,8,67,2,2,2
528,20,93,7,68,2,0,2
529,22,78,5,68,1,0,2
530,15,83,7,97,2,2,1
531,24,81,9,66,2,1,1
532,10,62,7,61,3,3,2
533,20,85,9,70,3,2,3
534,13,93,4,65,3,1,2
535,16,66,8,64,3,3,2
536,20,84,6,69,3,2,2
537,15,84,6,64,1,1,2
538,18,67,9,61,1,2,1
539,26,65,7,64,1,3,3
540,17,99,6,68,2,0,2
541,25,76,8,67,3,1,3
542,13,69,4,62,2,3,1
543,23,67,9,66,2,2,1
544,29,87,10,72,3,1,1
545,5,84,8,68,3,4,3
546,15,86,8,71,2,4,3
547,23,64,7,65,3,3,2
548,19,96,5,68,1,2,2
549,22,76,9,65,2,2,1
550,16,73,8,64,2,1,2
551,21,78,8,65,2,2,2
552,19,76,8,65,1,0,1
553,27,95,7,73,3,3,2
554,22,97,6,72,2,1,1
555,22,72,10,64,2,1,2
556,18,95,7,69,1,0,1
557,17,91,6,69,3,1,3
558,17,97,9,70,2,0,2
559,22,70,7,83,1,1,1
560,17,83,7,68,1,3,1
561,22,71,9,84,3,1,1
562,32,93,8,75,3,1,2
563,25,60,8,67,2,1,2
564,18,83,5,69,2,0,3
565,27,74,8,71,3,3,2
566,18,73,5,66,2,1,2
567,8,86,6,65,3,1,2
568,14,94,7,70,2,1,3
569,9,84,7,66,3,1,1
570,18,94,8,74,2,3,2
571,20,71,8,66,2,0,3
572,30,81,8,68,1,0,1
573,22,78,5,68,2,2,1
574,19,60,10,62,2,0,2
575,25,82,7,71,2,2,2
576,7,86,9,63,2,2,1
577,21,84,4,69,2,2,2
578,25,89,7,71,3,3,2
579,11,83,5,66,2,1,2
580,27,63,6,64,1,0,1
581,22,65,7,65,1,3,1
582,18,84,6,69,2,4,2
583,24,71,9,66,2,2,2
584,34,63,10,67,1,1,2
585,21,77,6,65,2,4,1
586,21,82,6,65,3,3,1
587,17,73,5,67,3,1,1
588,15,89,9,66,1,1,2
589,25,86,7,69,1,1,3
590,15,73,7,64,1,1,1
591,20,90,7,70,3,1,3
592,17,86,7,68,1,3,1
593,23,85,6,68,1,1,2
594,22,82,7,69,1,1,3
595,26,60,7,68,3,3,3
596,17,88,8,70,2,5,2
597,18,75,5,67,2,2,1
598,14,98,7,72,2,3,1
599,17,93,6,69,2,1,1
600,22,84,7,69,2,1,2
601,25,70,8,64,1,3,1
602,14,68,6,63,2,2,2
603,25,74,9,70,2,3,2
604,28,79,4,70,2,0,2
605,22,72,9,66,1,1,2
606,31,81,9,70,1,1,1
607,15,67,6,66,3,0,3
608,13,99,6,68,2,1,1
609,9,64,5,61,2,1,2
610,29,97,8,72,2,1,3
611,24,97,7,69,1,1,2
612,20,81,6,63,1,0,2
613,22,89,5,72,2,2,2
614,13,77,10,65,2,1,3
615,35,85,6,74,3,1,3
616,21,74,7,62,1,1,3
617,21,72,7,65,1,0,1
618,24,83,6,68,1,1,1
619,23,80,6,66,2,3,2
620,21,83,6,71,1,3,3
621,15,71,8,62,1,1,2
622,23,75,6,65,1,1,1
623,31,63,9,68,1,0,3
624,28,62,6,70,2,4,2
625,30,70,8,67,2,1,2
626,17,63,4,63,2,2,1
627,14,64,6,63,1,0,1
628,19,93,6,69,2,0,2
629,20,62,5,66,3,3,2
630,27,86,7,70,1,2,1
631,10,71,7,63,3,2,1
632,29,95,4,72,2,0,2
633,19,79,10,65,1,1,2
634,17,72,7,67,1,2,3
635,14,81,7,63,1,1,3
636,10,75,9,65,2,3,1
637,25,83,8,67,2,2,1
638,20,65,7,80,3,0,2
639,12,100,4,68,2,2,1
640,12,77,8,63,2,2,1
641,18,74,6,64,2,1,2
642,30,88,9,73,2,3,2
643,18,75,6,66,1,2,2
644,11,93,6,66,1,2,1
645,19,78,5,66,2,0,2
646,18,89,5,69,1,4,2
647,4,64,7,59,2,1,2
648,20,94,7,68,2,0,1
649,19,89,6,67,2,1,1
650,24,68,10,64,1,1,2
651,31,66,8,65,1,0,1
652,27,73,7,68,1,1,1
653,18,99,4,70,1,0,2
654,13,70,8,62,2,2,2
655,35,78,10,72,2,1,1
656,20,61,7,62,1,1,2
657,20,76,6,68,1,1,1
658,20,83,7,69,2,3,1
659,21,98,5,73,1,3,3
660,19,81,8,69,1,3,2
661,17,93,9,67,2,1,2
662,17,82,6,65,1,2,1
663,20,62,6,63,3,2,2
664,17,73,7,66,2,2,1
665,16,83,6,66,2,1,1
666,21,98,5,70,1,0,1
667,18,94,6,69,1,2,3
668,29,69,6,70,1,1,3
669,4,69,9,58,1,2,2
670,27,68,9,67,2,3,3
671,27,97,9,73,1,1,1
672,8,94,8,66,3,0,2
673,18,91,7,70,3,0,2
674,18,76,6,67,2,1,2
675,12,80,9,60,3,1,1
676,15,79,8,65,1,1,1
677,13,70,5,63,2,0,2
678,31,80,6,72,1,1,2
679,26,61,5,62,3,0,1
680,28,65,4,70,2,6,2
681,24,95,8,70,2,2,1
682,13,90,5,64,2,0,1
683,17,77,6,64,1,3,1
684,23,81,7,67,2,0,2
685,13,75,7,64,3,1,2
686,24,90,6,72,1,1,3
687,19,91,9,66,2,0,2
688,18,91,5,66,2,2,2
689,24,89,5,71,2,0,1
690,23,68,8,66,2,5,1
691,18,74,6,64,3,2,1
692,27,79,6,66,1,0,2
693,14,73,5,62,1,1,1
694,24,90,8,70,2,4,1
695,24,73,7,69,2,3,2
696,18,66,7,65,2,2,1
697,22,76,6,70,3,2,2
698,12,99,6,70,2,0,3
699,26,69,7,67,2,1,3
700,19,84,8,69,1,2,1
701,17,77,9,62,1,0,1
702,26,63,9,67,2,1,1
703,16,80,8,65,3,0,1
704,12,88,8,65,2,0,1
705,11,81,5,65,2,1,1
706,24,95,6,69,2,3,1
707,12,72,8,63,1,4,2
708,31,63,7,66,1,3,2
709,8,97,8,67,2,0,2
710,30,75,8,69,3,1,2
711,21,83,8,67,3,1,1
712,19,92,5,70,2,1,2
713,17,73,7,67,2,2,3
714,22,89,6,70,2,2,1
715,20,65,6,65,2,0,1
716,27,72,4,63,2,0,2
717,21,66,7,64,2,0,3
718,21,92,4,69,1,1,3
719,18,69,8,60,1,1,1
720,20,89,9,69,2,3,1
721,22,98,8,72,2,4,3
722,10,81,7,63,1,1,1
723,12,82,9,63,3,0,1
724,24,78,7,66,3,0,2
725,21,73,6,70,2,6,2
726,19,79,7,68,2,1,3
727,20,84,10,69,1,2,2
728,22,99,5,72,3,0,2
729,17,98,5,67,1,1,1
730,15,94,8,68,1,1,3
731,21,96,7,70,2,1,2
732,14,79,6,68,2,5,2
733,22,86,5,69,3,2,2
734,10,96,4,68,2,1,2
735,26,76,5,66,1,0,2
736,23,98,9,72,3,1,1
737,22,77,7,67,2,2,2
738,26,84,4,70,2,3,3
739,30,88,9,73,2,1,2
740,26,98,9,73,3,1,3
741,9,70,9,60,1,1,2
742,12,90,6,67,1,2,2
743,16,81,7,69,2,3,3
744,20,71,7,65,3,1,2
745,23,91,9,70,1,2,1
746,16,82,6,68,1,3,2
747,21,86,6,66,2,1,1
748,15,73,8,65,2,1,1
749,16,79,9,64,2,1,1
750,12,85,7,67,3,1,1
751,14,76,8,65,1,3,2
752,12,68,7,64,2,1,2
753,14,98,7,67,2,0,2
754,26,80,6,70,2,2,3
755,14,89,5,63,1,3,1
756,36,76,6,71,2,1,1
757,23,74,6,68,1,2,3
758,21,76,7,67,2,0,2
759,15,76,9,67,2,1,2
760,24,82,7,68,2,0,2
761,17,82,6,66,2,1,1
762,21,80,8,68,2,0,2
763,35,65,7,70,3,0,2
764,19,80,8,67,2,5,1
765,27,67,6,67,2,2,3
766,16,65,9,62,1,2,1
767,20,97,9,67,1,0,1
768,31,84,7,70,1,4,1
769,16,86,8,72,2,4,1
770,31,76,9,70,2,2,3
771,24,96,6,94,2,2,1
772,17,86,7,66,2,2,3
773,24,91,7,69,3,2,1
774,26,75,5,68,1,0,3
775,24,98,8,71,3,2,1
776,11,93,9,69,2,4,1
777,16,94,7,67,1,2,2
778,19,67,8,64,2,2,1
779,20,71,9,63,2,1,2
780,24,71,6,66,2,2,2
781,21,71,8,66,1,2,3
782,12,94,6,69,2,3,3
783,22,61,6,64,1,4,2
784,24,63,8,62,1,1,1
785,23,71,7,66,3,3,1
786,26,68,8,70,2,4,1
787,25,69,7,67,2,2,1
788,23,92,8,68,2,0,3
789,20,83,9,67,3,0,1
790,10,60,9,62,2,0,2
791,23,77,8,67,2,1,3
792,21,76,8,68,2,0,1
793,22,65,7,64,1,2,2
794,12,87,7,64,2,2,2
795,14,88,8,66,2,2,3
796,26,89,7,72,2,2,1
797,20,89,8,72,2,2,2
798,24,60,9,66,3,2,2
799,20,98,7,72,3,4,2
800,20,93,4,69,1,1,2
801,26,96,10,72,1,2,2
802,17,61,6,60,2,1,2
803,21,97,7,69,2,0,3
804,17,92,8,68,2,0,1
805,17,93,9,69,3,3,1
806,18,64,10,62,1,1,1
807,21,90,6,71,1,2,1
808,17,98,9,70,1,1,3
809,28,87,7,68,2,2,2
810,15,83,10,68,2,1,3
811,19,98,9,70,1,1,3
812,17,78,7,65,2,0,1
813,29,84,6,73,2,0,2
814,21,79,4,66,1,0,1
815,26,97,8,71,1,2,3
816,11,63,9,62,3,2,2
817,22,80,8,68,3,2,1
818,25,87,4,70,1,1,1
819,20,92,5,68,1,0,2
820,26,83,8,71,2,2,1
821,17,96,10,70,2,2,2
822,28,98,7,72,2,1,1
823,34,63,9,69,2,2,2
824,18,76,5,63,2,1,1
825,17,61,7,62,3,0,2
826,29,73,7,68,2,2,1
827,29,81,9,70,1,2,2
828,17,96,6,69,2,1,2
829,17,94,10,68,1,2,1
830,18,65,7,65,2,2,3
831,12,64,5,59,2,3,1
832,14,84,5,66,2,3,1
833,14,81,6,64,1,0,1
834,15,71,8,63,3,5,1
835,20,96,6,72,2,5,1
836,21,97,6,67,1,0,1
837,29,76,8,94,1,2,1
838,14,96,4,70,1,2,2
839,26,75,6,66,2,0,1
840,19,89,5,69,1,4,2
841,20,79,6,64,1,2,1
842,24,65,7,63,1,1,1
843,13,97,7,71,2,1,1
844,22,78,7,65,2,1,2
845,21,89,9,68,1,1,2
846,23,75,7,64,3,1,1
847,22,61,10,64,3,1,3
848,35,64,8,66,2,2,2
849,16,80,6,68,2,1,2
850,17,88,10,67,2,3,1
851,16,73,7,66,2,1,2
852,17,88,10,68,2,2,2
853,16,88,7,66,2,3,1
854,27,88,7,71,2,3,3
855,29,80,8,71,2,4,1
856,17,97,7,68,2,0,1
857,15,80,9,64,3,3,2
858,23,78,10,67,1,3,2
859,17,68,4,64,3,0,2
860,24,72,8,68,3,3,1
861,21,62,6,62,3,0,1
862,11,85,4,64,1,0,2
863,29,70,8,70,1,3,1
864,31,72,8,68,3,0,1
865,16,91,8,69,3,2,2
866,18,73,8,65,1,3,1
867,22,70,8,67,2,2,3
868,22,67,6,65,1,2,2
869,24,91,7,71,1,0,2
